,0,1
0,importances,"{'code_module': 0.06293019268313835, 'gender': 0.009097513140655237, 'region': 0.0013402874824393603, 'highest_education': 0.019471787058609403, 'imd_band': 0.011035512121935442, 'age_band': 0.003517568135777982, 'num_of_prev_attempts': 0.004610464270070561, 'studied_credits': 0.008906364773182997, 'disability': 0.000824969382942143, 'assessment_type': 0.21576139359460744, 'n_days_dataplus': 0.0004950286147712241, 'n_days_dualpane': 0.003373151294106355, 'n_days_externalquiz': 0.023252756126017553, 'n_days_folder': 0.0007977811739367294, 'n_days_forumng': 0.06816642539318178, 'n_days_glossary': 0.00344664576565822, 'n_days_homepage': 0.01449611100900554, 'n_days_htmlactivity': 0.0005222586476248873, 'n_days_oucollaborate': 0.0017116143930453768, 'n_days_oucontent': 0.01786513677597189, 'n_days_ouelluminate': 0.0006895136461566759, 'n_days_ouwiki': 0.006628213520392913, 'n_days_page': 0.006156595461349574, 'n_days_questionnaire': 0.00684378851686679, 'n_days_quiz': 0.08293315396097242, 'n_days_repeatactivity': 0.0, 'n_days_resource': 0.005026942400433383, 'n_days_sharedsubpage': 0.0, 'n_days_subpage': 0.009639584753922242, 'n_days_url': 0.0337649331549102, 'avg_sum_clicks_dataplus': 0.000817055233566219, 'avg_sum_clicks_dualpane': 0.0034572895204908155, 'avg_sum_clicks_externalquiz': 0.024952126374567733, 'avg_sum_clicks_folder': 0.0005696608674415115, 'avg_sum_clicks_forumng': 0.04415727538805467, 'avg_sum_clicks_glossary': 0.0036030897978293025, 'avg_sum_clicks_homepage': 0.024740512267065515, 'avg_sum_clicks_htmlactivity': 0.0006149896987881241, 'avg_sum_clicks_oucollaborate': 0.0014123562740756717, 'avg_sum_clicks_oucontent': 0.016296632964243142, 'avg_sum_clicks_ouelluminate': 0.0006550574621094059, 'avg_sum_clicks_ouwiki': 0.009182474012716204, 'avg_sum_clicks_page': 0.005792949213550147, 'avg_sum_clicks_questionnaire': 0.0037383882335801, 'avg_sum_clicks_quiz': 0.15049484149997644, 'avg_sum_clicks_repeatactivity': 0.0, 'avg_sum_clicks_resource': 0.005652082038848464, 'avg_sum_clicks_sharedsubpage': 0.0, 'avg_sum_clicks_subpage': 0.002726152817732379, 'avg_sum_clicks_url': 0.015608987429777942, 'total_n_days': 0.01315925835816421, 'avg_total_sum_clicks': 0.019663028381967505, 'year': 0.006895311280453852, 'semester': 0.0017861967468853187, 'overall_total_clicks': 0.02071859688643261}"
1,mse,301.56251776667267
2,r2,0.15174147137133998
