,0,1
0,importances,"{'code_module': 0.05879048501319168, 'gender': 0.015821953275388274, 'region': 0.003333247860297026, 'highest_education': 0.018451873525580316, 'imd_band': 0.00982509148326704, 'age_band': 0.0020118856518782737, 'num_of_prev_attempts': 0.008214419308169296, 'studied_credits': 0.018408619886117052, 'disability': 0.0018367469619282254, 'total_n_days': 0.46318169821377475, 'avg_total_sum_clicks': 0.04998954700025674, 'year': 0.0015240596755469779, 'semester': 0.0024183958902665795, 'overall_total_clicks': 0.34619197625433773}"
1,f1_score,0.8095238095238095
2,roc_auc,0.8223198970840478
3,confusion_matrix,"[[2535  380]
 [ 612 2108]]"
